"","Metabolite","Estimate","LCI","UCI","Pval"
"92","L_VLDL_L",-0.0758106801609268,-0.134216231331017,-0.0174051289908368,0.0109694423031333
"93","XL_VLDL_CE",-0.0756490894130823,-0.133976377817005,-0.017321801009159,0.0110328649418403
"94","L_LDL_PL_.",-0.0752314366364577,-0.133255377785986,-0.0172074954869294,0.0110586973051326
"95","L_VLDL_PL",-0.0756018379523254,-0.133964619811603,-0.0172390560930477,0.0111320498822993
"96","TG.PG",-0.0756674684312121,-0.134265040702577,-0.0170698961598471,0.0113882336939619
"97","HDL2_C",0.0743552928252472,0.0161157705063456,0.132594815144149,0.0123501005658755
"98","S_HDL_FC_.",-0.0741561592919471,-0.132453166549405,-0.0158591520344888,0.0126731464433988
"99","XXL_VLDL_C",-0.0724696426042037,-0.130800656980914,-0.014138628227493,0.0149020957062468
"100","M_LDL_PL",0.0715563727605457,0.013638919825399,0.129473825695692,0.015467583247922
"101","S_VLDL_FC_.",0.0713035727395867,0.013071944106993,0.12953520137218,0.0164092049150602
"102","XS_VLDL_CE",0.0712488900827468,0.0130323790505622,0.129465401114931,0.0164638257234088
"103","L_VLDL_C",-0.0711261761762771,-0.129471175469663,-0.0127811768828915,0.0168910863223181
"104","M_VLDL_TG",-0.0707890257857379,-0.129192496481796,-0.0123855550896801,0.017531203152195
"105","S_LDL_PL",0.0697134721428878,0.0120484705141071,0.127378473771669,0.0178245069124764
"106","XS_VLDL_FC_.",0.0708835684552263,0.0120353419452247,0.129731794965228,0.0182464437940128
"107","L_VLDL_CE_.",0.0715282229627383,0.011782409690401,0.131274036235076,0.0189624979035455
"108","S_LDL_FC_.",-0.0692928953872267,-0.127661714871563,-0.0109240759028907,0.0199876715815157
"109","L_LDL_C_.",0.067850106703003,0.0104289618225578,0.125271251583448,0.020572400150083
"110","ApoA1",0.0680507869723237,0.0100934365490016,0.126008137395646,0.0213853416649057
"111","S_HDL_TG_.",-0.0685566540140791,-0.126947578936069,-0.0101657290920896,0.0213914495644685
"112","Glc",-0.0682794595547421,-0.126722670262214,-0.00983624884726993,0.0220412952181006
"113","XS_VLDL_L",0.0674371833308104,0.00912014791938,0.125754218742241,0.0234319285529024
"114","XL_HDL_PL_.",0.0680153197661563,0.00889200460570355,0.127138634926609,0.0241595775927395
"115","L_HDL_CE_.",-0.066986548289268,-0.125295694461415,-0.00867740211712113,0.0243547870007911
"116","L_HDL_PL",0.0666502025146181,0.00836729524874046,0.124933109780496,0.0250133824183085
"117","M_VLDL_P",-0.0655656486538676,-0.123892103480682,-0.00723919382705357,0.0275876192793737
"118","LA.FA",0.0659438099098836,0.00712357434545722,0.12476404547431,0.0280054757023304
"119","L_VLDL_PL_.",0.0658104704798704,0.00677049049859765,0.124850450461143,0.0289173522689459
"120","IDL_TG_.",-0.0645327000213658,-0.122684187491956,-0.00638121255077594,0.0296352402024216
"121","VLDL_TG",-0.0648889952717027,-0.123373921876151,-0.00640406866725483,0.0296697214253922
"122","XL_HDL_TG",-0.0645571638540447,-0.122820060684017,-0.00629426702407259,0.0298860281589248
"123","L_VLDL_CE",-0.0632020753307205,-0.121492660586894,-0.00491149007454741,0.0335842434711118
"124","M_VLDL_FC",-0.0618597833180113,-0.120211288241575,-0.0035082783944476,0.0377325440504872
"125","L_HDL_PL_.",0.0612222222048139,0.00306448266668396,0.119379961742944,0.0390944187194047
"126","M_VLDL_L",-0.0605827496666484,-0.118987451704657,-0.00217804762863977,0.0420502346315365
"127","XS_VLDL_P",0.0598896905523317,0.00155410341060253,0.118225277694061,0.044203527000762
"128","XXL_VLDL_CE",-0.059420712950905,-0.117684091528181,-0.00115733437362894,0.0456214173750637
"129","L_LDL_TG",0.0588851871508835,0.000284668488037175,0.11748570581373,0.0488978861206754
"130","M_VLDL_PL",-0.0577939127703717,-0.116134368864619,0.000546543323875576,0.0521842785584217
"131","S_VLDL_PL_.",0.0568398663479916,-0.00152935453319424,0.115209087229177,0.0563096736562992
"132","M_LDL_TG",0.0567362093828791,-0.00174858306246155,0.11522100182822,0.0572511152410875
"133","FAw6",0.0559732116504983,-0.00192573703161741,0.113872160332614,0.0581187055662511
"134","IDL_PL_.",0.0563437765133571,-0.0020146798655605,0.114702232892275,0.0584472162847995
"135","Serum_TG",-0.056381537501535,-0.11486791054591,0.00210483554283956,0.0588307032684245
"136","L_HDL_L",0.0554179485983491,-0.0029140163952952,0.113749913591993,0.062590229029724
"137","M_LDL_TG_.",-0.055061362802647,-0.113185601016502,0.0030628754112081,0.0633504561601635
"138","XL_HDL_TG_.",-0.0551489144843231,-0.113771835994681,0.00347400702603436,0.0652033382342129
"139","XL_HDL_C_.",-0.0544189721379606,-0.113214140633384,0.00437619635746288,0.0696566294463528
"140","TotCho",0.0535640438212986,-0.00493981000026059,0.112067897642858,0.072727783343868
"141","L_LDL_TG_.",-0.0529809794186682,-0.111001993863882,0.00504003502654597,0.0734902668204504
"142","XL_HDL_CE_.",-0.0537085371004594,-0.112599670110806,0.00518259590988673,0.0738493514863364
"143","IDL_C_.",0.0530691696270886,-0.00512737350056789,0.111265712754745,0.0738814503671115
"144","XS_VLDL_C_.",0.0530583765864302,-0.00539643800913844,0.111513191181999,0.0752248930191475
"145","L_LDL_CE_.",0.0512664729903082,-0.00587387050129211,0.108406816481909,0.0786525586107081
"146","XXL_VLDL_C_.",0.0534994062540013,-0.00730173075135106,0.114300543259354,0.084585896484654
"147","S_VLDL_TG",-0.0508001011991226,-0.109211146994831,0.00761094459658583,0.0882560239172729
"148","PUFA",0.0502084253534077,-0.00784313081771825,0.108259981524534,0.0900276459966396
"149","L_HDL_P",0.0503873442006476,-0.00787479904820368,0.108649487449499,0.0900482031571603
"150","S_HDL_FC",0.0499707086042908,-0.00884318321680228,0.108784600425384,0.0958399368587888
"151","MUFA.FA",-0.0500359191161145,-0.108933506452347,0.00886166822011761,0.0958790364076212
"152","Crea",0.0485932695938801,-0.0100546740891232,0.107241213276883,0.104364182337924
"153","S_VLDL_CE",0.0469007262693623,-0.01126336380983,0.105064816348555,0.113983541310766
"154","L_VLDL_TG_.",-0.0475787580259661,-0.107109774799472,0.0119522587475395,0.117213634930286
"155","TotPG",0.0463787635960837,-0.0117704253150764,0.104527952507244,0.117969317878748
"156","LDL_TG",0.0457295766381692,-0.0127521531721604,0.104211306448499,0.125346368554823
"157","L_HDL_FC_.",0.0448032994060596,-0.0126809001698569,0.102287498981976,0.126579951578176
"158","L_LDL_FC_.",0.0450269596490731,-0.0130604186288103,0.103114337926956,0.128658461745188
"159","PC",0.0450600352970503,-0.0131080915453517,0.103228162139452,0.128908776368318
"160","Ala",-0.044813615313007,-0.103658049469851,0.0140308188438373,0.135498539111533
"161","XL_VLDL_PL_.",0.0448641209507875,-0.0143439975669183,0.104072239468493,0.137470926081227
"162","Gln",0.0438386239928179,-0.0144773179642933,0.102154565949929,0.140608990633039
"163","XL_VLDL_TG_.",-0.0454636301638379,-0.106182546541089,0.0152552862134132,0.142192025462277
"164","M_VLDL_C",-0.0432997651249565,-0.101585655293983,0.0149861250440696,0.145345945308549
"165","M_VLDL_FC_.",-0.0424892981139352,-0.100684466057236,0.0157058698293656,0.152388303975083
"166","XL_VLDL_C_.",0.0436358264879791,-0.0174266708440597,0.104698323820018,0.161285794974877
"167","M_HDL_C_.",0.0413887386929918,-0.0170874975537915,0.0998649749397752,0.165324231428318
"168","L_HDL_FC",0.0409025694565942,-0.0174177150777063,0.0992228539908947,0.169206584601739
"169","S_HDL_TG",-0.0405322526380301,-0.0990113691886066,0.0179468639125465,0.174268824404003
"170","LA",0.0401385105072713,-0.0178967081406162,0.0981737291551587,0.175192055160615
"171","L_HDL_C",0.0402760873786726,-0.0180612862354756,0.0986134609928208,0.175956896110071
"172","L_HDL_CE",0.0385820373944473,-0.0197465625012262,0.0969106372901208,0.194771088992457
"173","IDL_TG",0.0386849943953249,-0.0199918453770899,0.0973618341677397,0.196239901784804
"174","L_VLDL_C_.",0.0381110396873578,-0.0219030494610222,0.0981251288357378,0.213203227396898
"175","LDL_D",0.0360739591351419,-0.0227528903116292,0.0949008085819129,0.229342402121631
"176","XL_VLDL_FC_.",0.0367011226730768,-0.023714112591132,0.0971163579372857,0.233729068115909
"177","AcAce",0.0355438694748798,-0.0234176986833381,0.0945054376330976,0.237329532889829
"178","Ace",-0.0331132119505887,-0.0914231738198764,0.0251967499186991,0.265626631922325
"179","M_HDL_PL_.",-0.0318903156768881,-0.0900539638185062,0.0262733324647299,0.282472596314044
"180","DHA.FA",0.0313415574047466,-0.0271449466372081,0.0898280614467012,0.293506970553514
"181","M_HDL_TG_.",-0.0310740461726024,-0.0895014495945293,0.0273533572493246,0.29715792394538
"182","Remnant_C",0.0304534564716365,-0.0276509985598257,0.0885579115030986,0.304228868455861
"183","L_HDL_C_.",-0.0299635211561801,-0.0883733293529969,0.0284462870406367,0.314609594950339
"184","DHA",0.0300922835716024,-0.0286511122727754,0.0888356794159801,0.315290555635448
"185","XL_VLDL_CE_.",0.0300441499067218,-0.0304609973392827,0.0905492971527264,0.330358092043506
"186","Gly",0.029150036599008,-0.0295731931863391,0.087873266384355,0.330514774585764
